"","display_alphas","display_gammas","display_thetas","paid_search_alphas","paid_search_gammas","paid_search_thetas","social_alphas","social_gammas","social_thetas","tv_alphas","tv_gammas","tv_thetas","train_size","tv_inflexion","paid_search_inflexion","social_inflexion","display_inflexion","tv_inflation","paid_search_inflation","social_inflation","display_inflation","rsq_train","rsq_val","rsq_test","nrmse_train","nrmse_val","nrmse_test","nrmse","decomp.rssd","mape","lambda","lambda_hp","lambda_max","lambda_min_ratio","pos","Elapsed","ElapsedAccum","solID","trial","iterNG","iterPar","iterations","coef0","mape.qt10","robynPareto","error_score","cluster","top_sol"
"1",1.5782045085,0.285117521437,0.15829838592,1.70990187125,0.393249478645,0.42424537696,1.948274612,0.655540382872,0.47572406584,1.643114883,0.351870897313,0.11116845088,1,29552.94421499,31200.773223563,30670.3663330573,4986.841160941,1.12437423942518,1.72696668019824,1.89807169566258,1.1861066775299,0.024161455942432,NA,NA,0.200775696726399,NA,NA,0.200775696726399,0.784112292738633,0,125.543956525342,0.001445048058,81263.2971590817,1e-04,0,0.0491251945495605,12.7855207920074,"1_232_1",1,232,1,232,TRUE,TRUE,6,0.124082619491494,4,FALSE
"2",1.5726726425,0.257954058451,0.016737819192,0.67157348835,0.417221999074,0.4130450524,0.77712517125,0.697234749553,0.63647994712,1.89390038875,0.779771089846,0.12538980208,1,66183.1148461293,32598.7626197802,43567.9240000447,3910.84805633198,1.14254627609017,1.69456924357504,2.71929051368411,1.016857091616,0.0337766581475366,NA,NA,0.19978409932548,NA,NA,0.19978409932548,0.79952959543055,0,146.867031410299,0.001707469202,81263.2971590817,1e-04,0,0.0414261817932129,12.8861818313599,"1_234_1",1,234,1,234,TRUE,TRUE,1,0.116427764871855,4,FALSE
"3",1.75724321775,0.0941849164387,0.1192903816,0.968220892,0.272072859697,0.34426382432,2.3935506055,0.816645462238,0.79474477864,1.74804365575,0.885035670751,0.15018810504,1,76536.1594648609,19442.6286099899,81724.689839476,1582.94475700496,1.17567431818751,1.51939398065011,4.71953121621528,1.13406718889762,0.0301200638417417,NA,NA,0.2001617757465,NA,NA,0.2001617757465,1.05596723280907,0,269.516525259673,0.003216905372,81263.2971590817,1e-04,0,0.0412778854370117,13.1932287216187,"1_240_1",1,240,1,240,TRUE,TRUE,6,0.169329400688915,4,FALSE
"4",1.5782045085,0.285117521437,0.15829838592,1.70990187125,0.460831359187,0.42424537696,1.948274612,0.655540382872,0.47572406584,1.643114883,0.351870897313,0.11116845088,1,29552.94421499,36562.7814227306,30670.3663330573,4986.841160941,1.12437423942518,1.72696668019824,1.89807169566258,1.1861066775299,0.0249442849137311,NA,NA,0.200695148275406,NA,NA,0.200695148275406,0.789388179288607,0,125.543956525342,0.001445048058,81263.2971590817,1e-04,0,0.040334939956665,14.3559417724609,"1_262_1",1,262,1,262,TRUE,TRUE,6,0.123942579335501,4,FALSE
"5",1.44550174375,0.383288424355,0.54843261592,0.89663781525,0.385951686913,0.5586344948,0.5079490878075,0.52750972306,0.26353865032,1.56651632525,0.0445192018633,0.14829618512,1,3844.36985003098,37695.1665074826,19447.766837835,10874.4987329379,1.17307960168779,2.24019010448896,1.35575596539671,2.19247134340975,0.00065649832881487,NA,NA,0.203179344104124,NA,NA,0.203179344104124,0.240426647632106,0,505.044199529562,0.006115523046,81263.2971590817,1e-04,0,0.0424799919128418,14.9499146938324,"1_273_1",1,273,1,273,TRUE,TRUE,1,0.128772096467785,3,FALSE
"6",1.46530206475,0.0663693491152,0.078857141512,0.83381462625,0.354281213584,0.36432708672,0.6006217751,0.702781918741,0.68759316384,2.15088463425,0.605128860667,0.10880567264,1,50735.6868674393,25963.9129083135,49526.6665270606,1070.77860540695,1.12141075573437,1.56665750067691,3.15159182815386,1.0847531179521,0.0320408401679435,NA,NA,0.199963474633986,NA,NA,0.199963474633986,1.10268544130534,0,418.09024539714,0.005045388638,81263.2971590817,1e-04,0,0.0512139797210693,16.2737019062042,"1_298_1",1,298,1,298,TRUE,TRUE,4,0.177291200315615,4,FALSE
"7",1.46530206475,0.0663693491152,0.078857141512,0.618680040625,0.354281213584,0.36432708672,0.6006217751,0.702781918741,0.68759316384,2.15088463425,0.605128860667,0.10880567264,1,50735.6868674393,25963.9129083135,49526.6665270606,1070.77860540695,1.12141075573437,1.56665750067691,3.15159182815386,1.0847531179521,0.0323387660462728,NA,NA,0.199932699121418,NA,NA,0.199932699121418,1.05370436151577,0,418.09024539714,0.005045388638,81263.2971590817,1e-04,0,0.0483810901641846,17.88405585289,"1_328_1",1,328,1,328,TRUE,TRUE,3,0.167420443441461,4,FALSE
"8",1.6554585025,0.63193268071,0.04362828404,0.5493657196,0.363990045277,0.31083565104,0.9635642095,0.835834274353,0.78852777288,1.6780791265,0.374164165486,0.0927311072,1,31006.9066739568,24973.8404347541,81433.8901128791,9841.38209708642,1.10165557428193,1.44664071155581,4.58745669175623,1.04517001314904,0.0247901012343988,NA,NA,0.200711015416497,NA,NA,0.200711015416497,0.78299123986614,0,114.095731870506,0.001304155798,81263.2971590817,1e-04,0,0.0525507926940918,17.9460577964783,"1_329_1",1,329,1,329,TRUE,TRUE,5,0.123002626976646,4,FALSE
"9",1.493901167,0.491253315103,0.04101787916,2.0822017015,0.457680888325,0.36432708672,0.6006217751,0.702781918741,0.68759316384,2.15088463425,0.605128860667,0.12109049304,1,51196.6474028361,33541.678950618,49526.6665270606,7630.57394255689,1.13699117719618,1.56665750067691,3.15159182815386,1.04235220740787,0.0253958891982385,NA,NA,0.200648666169608,NA,NA,0.200648666169608,0.798159994006572,0,202.340469000642,0.002390175755,81263.2971590817,1e-04,0,0.0408427715301514,19.4780068397522,"1_358_1",1,358,1,358,TRUE,TRUE,5,0.124926634077789,4,FALSE
"10",1.22012535525,0.499418253775,0.31642695104,0.6635963588,0.0294590603845,0.51932065136,1.36333611,0.640088061031,0.26353865032,1.56651632525,0.0445192018633,0.14829618512,1,3844.36985003098,2693.26380754354,23598.2064831001,10353.7889708045,1.17307960168779,2.0611426158963,1.35575596539671,1.45734429742972,0.00929281474514465,NA,NA,0.202299502166532,NA,NA,0.202299502166532,0.451545888814545,0,505.044199529562,0.006115523046,81263.2971590817,1e-04,0,0.0409419536590576,19.7355997562408,"1_363_1",1,363,1,363,TRUE,TRUE,6,0.111329058922451,4,FALSE
