"","solID","mape","decomp.rssd","nrmse","nrmse_train","display_thetas","paid_search_thetas","social_thetas","tv_thetas","display_alphas","paid_search_alphas","social_alphas","tv_alphas","display_gammas","paid_search_gammas","social_gammas","tv_gammas","cluster","n","top_sol"
"1","1_232_1",0,0.784112292738633,0.200775696726399,0.200775696726399,0.269497240959816,0.643971860850738,0.544551117081096,0.327826912433053,0.312557490185909,0.598865954776518,0.592809866934517,0.477332363401881,0.24281101678983,0.421901543921853,0.627377992524483,0.345253424620606,4,23,FALSE
"2","1_234_1",0,0.79952959543055,0.19978409932548,0.19978409932548,0.0269470506498136,0.62651636232024,0.772758200439473,0.373806603158321,0.309875231411472,0.0715809856801196,0.110787620942123,0.591252534755084,0.213749808714809,0.449695983723855,0.674229307723945,0.815266602980572,4,23,FALSE
"3","1_240_1",0,1.05596723280907,0.2001617757465,0.2001617757465,0.202660839480802,0.519322091364553,0.997429020018859,0.453983112730232,0.399368730525007,0.222224770095653,0.77607677293749,0.524996616309214,0.0385391179888143,0.281405835482037,0.808409279349387,0.930891089959678,4,23,FALSE
"4","1_262_1",0,0.789388179288607,0.200695148275406,0.200695148275406,0.269497240959816,0.643971860850738,0.544551117081096,0.327826912433053,0.312557490185909,0.598865954776518,0.592809866934517,0.477332363401881,0.24281101678983,0.500257948539131,0.627377992524483,0.345253424620606,4,23,FALSE
"5","1_273_1",0,0.240426647632106,0.203179344104124,0.203179344104124,0.937954099533762,0.853414813722723,0.243335295790776,0.447866261273911,0.248213351129986,0.185873379693967,0,0.442537207285535,0.347840520505283,0.413440271208232,0.483511919586131,0.00765285847574082,3,37,FALSE
"6","1_298_1",0,1.10268544130534,0.199963474633986,0.199963474633986,0.133382435862666,0.550590314482919,0.845317897887923,0.320187707747102,0.25781401476481,0.153970444345245,0.0381422688826756,0.707988504782066,0.008780247033016,0.376720600156083,0.680462575975269,0.623436473794638,4,23,FALSE
"7","1_328_1",0,1.05370436151577,0.199932699121418,0.199932699121418,0.133382435862666,0.550590314482919,0.845317897887923,0.320187707747102,0.25781401476481,0.0447205815840827,0.0381422688826756,0.707988504782066,0.008780247033016,0.376720600156083,0.680462575975269,0.623436473794638,4,23,FALSE
"8","1_329_1",0,0.78299123986614,0.200711015416497,0.200711015416497,0.0730212330097854,0.46722490199826,0.988603434662883,0.26821630664182,0.350015954159332,0.00952131300825206,0.187522289320887,0.493214990265994,0.613856030910405,0.387977302964538,0.829971450843235,0.369740746694467,4,23,FALSE
"9","1_358_1",0,0.798159994006572,0.200648666169608,0.200648666169608,0.0685485594746001,0.550590314482919,0.845317897887923,0.359906313571805,0.271680979899374,0.78792763094845,0.0381422688826756,0.707988504782066,0.463348258102717,0.496605200678048,0.680462575975269,0.623436473794638,4,23,FALSE
"10","1_363_1",0,0.451545888814545,0.202299502166532,0.202299502166532,0.54043507661428,0.792144916344397,0.243335295790776,0.447866261273911,0.138934168372297,0.0675300316876053,0.352060599000866,0.442537207285535,0.472083631121579,0.000112316091863907,0.61001445738135,0.00765285847574082,4,23,FALSE
